doi,title,date,type,is_oa,oa_status,cited_by,ml_score,bd_score,survey,authors,abstract_snippet
10.1007/s10462-025-11169-y,A review of hyperspectral image classification based on graph neural networks,2025-03-17,article,True,hybrid,57,18,1,1,Xiaofeng Zhao; Junyi Ma; Lei Wang; Zhili Zhang; Yao Ding; Xiongwu Xiao,"Hyperspectral images provide rich spectral-spatial information but pose significant classification challenges due to high dimensionality, noise, mixed pixels, and limited labeled samples. Graph Neural Networks (GNNs) have emerged as a promising solution, offering a semi-supervise"
10.1007/s10462-025-11434-0,Synergizing blockchain and AI to fortify IoT security: a comprehensive review,2026-01-07,article,True,hybrid,10,10,7,1,Deepak Kaushik; Preeti Gulia; Nasib Singh Gill; Mohammad Yahya; Piyush Kumar Shukla; J. Shreyas,"Abstract The relentless growth of connected devices is transforming industrial, urban and domestic environments, yet it also expands the attack surface for distributed denial of service (DDoS), unauthorized access and data manipulation. Centralized security architectures struggle"
10.1007/s10462-026-11532-7,Graph neural networks for anomaly detection: a systematic review of dynamic temporal approaches,2026-03-11,review,True,hybrid,9,15,2,1,Fernando Ares-Robledo; Helena Rifà-Pous; Robert Clarisó,"Abstract Graph Neural Network (GNN) have recently gained significant attention for their ability to model evolving relationships in graph-structured data, offering new opportunities for anomaly detection in cybersecurity. This Systematic Literature Review (SLR) examines the curre"
10.1007/s10462-026-11690-8,"Artificial intelligence for weather and climate: a survey of methods, benchmarks, and scientific machine learning challenges",2026-09-11,article,True,hybrid,0,16,1,1,Andreas Holzinger; Sandro Fiore; Tullio Degiacomi; Fabrizio Antonio; Heimo Müller,"Weather and climate science is a uniquely demanding testbed for artificial intelligence, combining petabyte-scale spatiotemporal complex data on a rotating sphere, governing partial differential equations coupled to global observational and reanalysis archives, climate non-statio"
10.1007/s10462-025-11108-x,Artificial intelligence advances in anomaly detection for telecom networks,2025-01-25,article,True,hybrid,86,13,3,1,Enerst Edozie; Aliyu Nuhu Shuaibu; Bashir Olaniyi Sadiq; Ukagwu Kelechi John,"Telecommunication networks are becoming increasingly dynamic and complex due to the massive amounts of data they process. As a result, detecting abnormal events within these networks is essential for maintaining security and ensuring seamless operation. Traditional methods of ano"
10.1007/s10462-025-11240-8,Advanced unsupervised learning: a comprehensive overview of multi-view clustering techniques,2025-05-07,article,True,hybrid,46,14,1,0,Abdelmalik Moujahid; Fadi Dornaika,"Abstract Machine learning techniques face numerous challenges to achieve optimal performance. These include computational constraints, the limitations of single-view learning algorithms and the complexity of processing large datasets from different domains, sources or views. In t"
10.1007/s10462-025-11119-8,"Applications of deep learning algorithms in ischemic stroke detection, segmentation, and classification",2025-02-26,article,True,hybrid,30,13,1,0,Tanzeela Kousar; Mohd Shafry Mohd Rahim; Sajid Iqbal; Fatima Yousaf; Muhammad Sanaullah,"Ischemic, one of the fatal diseases characterized by insufficient blood supply to tissues poses a significant global health burden, necessitating the development of robust diagnostic and classification methodologies. Timely identification, intervention, and treatment are essentia"
10.1007/s10462-026-11522-9,From classical machine learning to emerging foundation models: review on multimodal data integration for cancer research,2026-02-21,article,True,hybrid,16,11,3,1,Amgad Muneer; Muhammad Waqas; Maliazurina B. Saad; Eman Showkatian; Rukhmini Bandyopadhyay; Hui Xu,"Abstract Cancer research is increasingly driven by the integration of diverse data modalities, spanning from genomics and proteomics to imaging and clinical factors. However, extracting actionable insights from these vast and heterogeneous datasets remains a key challenge. The ri"
10.1007/s10462-025-11412-6,Validation is the central challenge for generative social simulation: a critical review of LLMs in agent-based modeling,2025-11-18,article,True,hybrid,15,13,1,1,Maik Larooij; Petter Törnberg,"Recent advances in Large Language Models (LLMs) have revitalized interest in Agent-Based Models (ABMs) by enabling ""generative"" simulations, with agents that can plan, reason, and interact through natural language. These developments promise greater realism and expressive power, "
10.1007/s10462-025-11218-6,Unsupervised clustering optimization-based efficient attention in YOLO for underwater object detection,2025-04-23,article,True,hybrid,11,13,1,0,Xin Shen; Guoliang Yuan; Huibing Wang; Xianping Fu,"Underwater object detection is a prerequisite for underwater robots to realize ocean exploration and autonomous grasping. However, underwater detection tasks face some inevitable interference factors, such as poor imaging quality, strong environment randomness, and high organism "
