doi,title,date,type,is_oa,oa_status,cited_by,ml_score,bd_score,survey,authors,abstract_snippet
10.1016/j.bdr.2026.100638,Will the user engage with the item? A probabilistic framework for personalized product recommendation in big data environment,2026-08-21,article,True,hybrid,0,8,8,0,Simona-Vasilica Oprea; Adela Bâra,"This paper introduces a classification-based recommendation system that outputs purchase probabilities rather than just recommending items based on traditional methods. Unlike traditional methods that focus on rating prediction or implicit feedback, this system provides a probabi"
10.1016/j.bdr.2025.100510,Efficient training: Federated learning cost analysis,2025-02-20,article,True,hybrid,9,6,1,0,Rafael Teixeira; Leonardo Almeida; Mário Antunes; Diogo Gomes; Rui L. Aguiar,"With the rapid development of 6G, Artificial Intelligence (AI) is expected to play a pivotal role in network management, resource optimization, and intrusion detection. However, deploying AI models in 6G networks faces several challenges, such as the lack of dedicated hardware fo"
10.1016/j.bdr.2025.100518,Predicting option prices: From the Black-Scholes model to machine learning methods,2025-02-26,article,True,hybrid,5,5,1,0,Angela Maria D’Uggento; Marta Biancardi; Domenico Ciriello,"• The Black-Scholes model has long been a fundamental framework for option pricing, but it has some limitations that can restrict its application to real data. • Big data and advanced computing power of machine learning offer a new approach to option pricing, dealing effectively "
10.1016/j.bdr.2025.100576,Unleashing the power of digital twin and big data as a new frontier for smart mobility: An ecosystem perspective,2025-11-24,article,True,hybrid,4,1,5,0,Francesca Loia; Claudia Perillo; Ginevra Gravili,"• This study explores the role of digital twin technology and big data in the context of smart mobility. • An integrative framework based on an ecosystemic perspective is proposed, comprising two iterative loops to analyze digital twin and big data applications in smart mobility."
10.1016/j.bdr.2025.100552,Time-synchronized sentiment labeling via autonomous online comments data mining: A multimodal information fusion on large-scale multimedia data,2025-06-08,article,False,closed,1,3,3,0,Jiachen Ma; Nazmus Sakib; Fahim Islam Anik; Sheikh Iqbal Ahamed,
10.1016/j.bdr.2026.100602,Meteorological and satellite remote sensing-driven machine learning-based approach for large-scale winter oilseed rape prediction and inversion,2026-04-03,article,False,closed,0,3,3,0,Yang Yang; Ze-tong Li; Yang Liu; Jia-yi Wu; Xin-bei Wei; Yi-lin Ren,
10.1016/j.bdr.2026.100628,Data-driven clustering advances subtype prediction in colorectal cancer for precision treatment,2026-07-14,article,False,closed,0,3,3,0,M. Annapoorani; G. Kavithaa,
10.1016/j.bdr.2026.100635,Classification mining method of E-Commerce traffic big data based on clara algorithm,2026-08-01,article,False,closed,0,3,3,0,Chunwei Qi; Hui Zhang,
10.1016/j.bdr.2025.100558,NGLinker: Link prediction for node featureless networks,2025-08-01,article,True,hybrid,0,4,1,0,Li Yong; Wu Jingpeng; Zhongying Zhang,"Link prediction is a paradigmatic problem with tremendous real-world applications in network science, which aims to infer missing links or future links based on currently observed partial nodes and links. However, conventional link prediction models are based on network structure"
10.1016/j.bdr.2026.100592,Realistic image-to-image machine unlearning via decoupling and knowledge retention,2026-02-10,article,True,hybrid,1,3,1,0,Ayush K. Varshney; Vicenç Torra,"Machine Unlearning allows participants to remove their data from a trained machine learning model in order to preserve their privacy, and security. However, the machine unlearning literature for generative models is rather limited. The literature for image-to-image generative mod"
