doi,title,date,type,is_oa,oa_status,cited_by,ml_score,bd_score,survey,authors,abstract_snippet
10.1186/s40537-026-01510-9,From K-means to LLM-augmented pipelines: a critical survey and taxonomy for biomedical big data,2026-07-27,article,True,gold,0,12,8,1,Absalom E. Ezugwu; Joy Ezugwu,"The exponential growth of biomedical data arising from medical images, genomics, bioinformatics, and electronic health records has intensified the urgent need for more scalable, interpretable, and computationally efficient unsupervised learning approaches. Among these, the K-mean"
10.1186/s40537-025-01207-5,Cloud based real-time multivariate multi-step prediction of systolic blood pressure and heart rate using temporal convolutional network and Apache Spark,2025-07-16,article,True,gold,8,7,12,0,Hager Saleh; Nora El-Rashidy; Sherif Mostafa; Abdulaziz AlMohimeed; Shaker El–Sappagh; Zainab H. Ali,"Abstract Systolic blood pressure (SBP) and heart rate (HR) are critical for proactive clinical decision-making, particularly in intensive care environments. Early identification of abnormalities in these vital signs helps patients receive appropriate treatment and reduce associat"
10.1186/s40537-026-01373-0,GEN-SECHEALTH: an AI-powered generative architecture for self-scalable cybersecurity and flexible data privacy protection in intricate healthcare systems,2026-03-14,article,True,gold,3,11,6,0,Sajid Mehmood; Rashid Amin; Antonio Costanzo; Asma Hassan Alshehri; Faisal S. Alsubaei,"The rising levels of cyberattacks on critical infrastructure, especially healthcare systems, require enhanced cybersecurity systems that can offer a high level of detection as well as high data privacy. In this paper, we present GEN-SECHEALTH, an artificial intelligence (AI) base"
10.1186/s40537-026-01461-1,EGA: ensemble of graph autoencoder for unsupervised anomaly detection,2026-05-24,article,True,gold,0,16,1,0,Ali Nawaz; Anwar Ahmad; Shehroz S. Khan,"Anomaly detection is a critical task in domains such as finance, healthcare, cybersecurity, and the Internet of Things, where identifying rare and irregular patterns is essential. Graph Autoencoders (GAEs) have emerged as a powerful tool by leveraging neighborhood information to "
10.1186/s40537-026-01524-3,DQS: a low-budget query strategy for enhancing unsupervised data-driven anomaly detection approaches,2026-08-08,article,True,gold,0,12,4,0,Lucas Correia; Jan-Christoph Goos; Thomas Bäck; Anna V. Kononova,"Abstract What constitutes an unsupervised approach varies across the time series anomaly detection literature, as methods described as unsupervised often rely on labelled data for threshold selection or hyperparameter tuning. These require a labelled data subset, which is often n"
10.1186/s40537-025-01320-5,Generative deep learning in bioinformatics: a microservices-driven paradigm for big data environment,2025-12-14,article,True,gold,0,9,7,0,Ahmed F. El‐Sayed; Saad M. Darwish; Nevine Makram Labib; Mohamed El-Hadidi,"Abstract The exponential growth of bioinformatics and drug discovery data necessitates computational frameworks capable of efficiently managing large-scale, heterogeneous, and continuously evolving datasets. This study presents a hybrid deep learning framework built upon a micros"
10.1186/s40537-026-01477-7,Generative AI for the reconstruction of visual stimuli from functional magnetic resonance imaging (fMRI) signals,2026-06-07,article,True,gold,0,12,4,0,Kareem Ahmed; Hamdi A. Mahmoud; Hagar M. El Hadad; Yahya Afifi,"Abstract Recent advances in generative artificial intelligence have enabled significant progress in reconstructing visual content from functional magnetic resonance imaging (fMRI) data. Early approaches were based on standalone generative models, such as Generative Adversarial Ne"
10.1186/s40537-026-01506-5,A hybrid deep learning–blockchain framework for reliable fraud detection: a big data–driven approach for real-time FinTech systems,2026-07-24,article,True,gold,0,5,11,0,Saad M. Darwish; Noha A. El-Shoafy,"Abstract The rapid growth of FinTech systems requires efficient fraud detection mechanisms capable of processing large-scale financial transactions in real time. Traditional rule-based and machine learning approaches often suffer from limited scalability, adaptability, and high f"
10.1186/s40537-025-01169-8,A privacy-enhanced framework for collaborative Big Data analysis in healthcare using adaptive federated learning aggregation,2025-05-06,article,True,gold,19,7,8,0,Rahul Haripriya; Nilay Khare; Manish Pandey; Sreemoyee Biswas,"The exponential growth of Big Data in healthcare, particularly in AI-driven medical diagnostics, has raised critical concerns about data privacy in medical image classification. With over 30% of healthcare organizations worldwide experiencing data breaches in the past year, the d"
10.1186/s40537-025-01192-9,"Big Data Analytics in IoT, social media, NLP, and information security: trends, challenges, and applications",2025-06-17,article,True,gold,18,7,8,1,Kamal Taha,"This paper presents a comprehensive, domain-specific survey and experimental evaluation of machine learning techniques for Big Data Analytics across four critical domains: IoT, Social Media, Natural Language Processing (NLP), and Information Security. A novel taxonomic framework "
10.1186/s40537-025-01149-y,Graph neural network approach with spatial structure to anomaly detection of network data,2025-04-26,article,True,gold,19,12,2,0,Han Zhang; Yun Zhou; Huahu Xu; Jiangang Shi; Xinhua Lin; Yiqin Gao,"Network anomaly detection using graph-structured data is a critical task in data mining and cybersecurity, involving the identification of unusual patterns within a network by analyzing its structure as a graph. However, network data often exhibit high dimensionality and sparsity"
10.1186/s40537-025-01123-8,Mopidip: a modular real-time pipeline for machinery diagnosis and prognosis based on deep learning algorithms,2025-04-04,article,True,gold,4,7,7,0,Mattia Pujatti; Davide Calzà; Andrea Gobbi; Piergiorgio Svaizer; M. Cristoforetti,"Condition monitoring is a crucial process for ensuring industrial assets’ reliability and operational efficiency. In the age of the digital industry, Artificial Intelligence (AI)-based data-driven condition monitoring is proving extremely effective in detecting potential issues b"
10.1186/s40537-025-01262-y,BlueEdge: application design for big data cleaning processing using mobile edge computing environments,2025-08-21,article,True,gold,3,2,12,0,Nagwa Elmobark; Haitham A. El-Ghareeb; Sara Elhishi,"Abstract With the rapid growth of the Internet of Things (IoT) and the emergence of big data, handling massive amounts of data has become a major challenge. Traditional approaches involve sending raw data to cloud data centers for cleaning, processing, and interpretation using da"
10.1186/s40537-025-01338-9,A temporal federated learning of neural network for enhancing controllability temporal network robustness on federated social internet of things networks,2025-12-07,article,True,gold,2,7,7,0,Xiang Zhao; Peyman Arebi,"This paper presents a novel Temporal Federated Learning framework to enhance the controllability robustness of Federated Social Internet of Things (FSIoT) networks under dynamic and adversarial conditions. The proposed model, termed Recovery Controllability using Temporal Federat"
10.1186/s40537-025-01087-9,A clustering-based approach for classifying data streams using graph matching,2025-02-19,article,True,gold,2,9,5,0,Yuxin Du; Mingshu He; Xiaojuan Wang,"In response to challenges such as data encryption, uneven distribution, and user privacy concerns in network traffic classification, this paper presents a clustering-based approach.In response to challenges such as data encryption, uneven distribution, and user privacy concerns i"
10.1186/s40537-026-01522-5,Graph-based federated reinforcement learning to parallel SFC placement in mobile edge computing,2026-08-19,article,True,gold,0,6,8,0,Chunfeng Jiang; Jingru Qu; Yulan Zhao; Amin Rezaeipanah,"Network Function Virtualization (NFV) in the context of Mobile Edge Computing (MEC) enables flexible and modular network services, where Virtual Network Functions (VNFs) are executed sequentially within Service Function Chains (SFCs). However, the sequential execution of SFCs oft"
10.1186/s40537-025-01178-7,Comprehensive review of artificial intelligence applications in renewable energy systems: current implementations and emerging trends,2025-07-11,article,True,gold,86,9,4,1,Chukwuebuka Joseph Ejiyi; Dongsheng Cai; D. A. H. Thomas; Sandra Obiora; Emmanuel Osei-Mensah; Caroline Acen,"As the world faces pressing climate and energy challenges, Artificial Intelligence is proven as a transformative force in advancing renewable energy systems. This study reviews the current and future applications of Artificial Intelligence in renewable energy, highlighting its tr"
10.1186/s40537-025-01243-1,Towards precision in IoT-based healthcare systems: a hybrid optimized framework for big data classification,2025-07-28,article,True,gold,10,5,8,0,Satheeshkumar Palanisamy; Vigneshwaran Thangaraju; Jeevitha Kandasamy; Ayodeji Olalekan Salau,"The rapid expansion of IoT-enabled healthcare systems has resulted in the generation of large-scale, heterogeneous, and high-dimensional medical data. However, traditional machine learning models often struggle with issues such as data imbalance, redundant features, and noise, li"
10.1186/s40537-025-01342-z,An adversarial variational graph autoencoder with contrastive learning for robust anomaly detection in large scale attributed networks,2025-12-14,article,True,gold,6,8,5,0,Wasim Khan; Nadhem Ebrahim; Mohammad Ishrat; Hasan Alkahtani; Theyazn H. H. Aldhyani,"Abstract Anomaly detection in attributed networks is challenging because it combines complex structural relationships with high-dimensional node attributes. Traditional methods rarely solve both problems simultaneously, making them less effective. We present a new approach for an"
10.1186/s40537-025-01360-x,Artificial Intelligence-driven privacy preservation in the internet of vehicles: a comprehensive systematic literature review,2026-02-01,review,True,gold,6,9,4,1,Arash Heidari; Seyed Hamed Rastegar; Ahmad Khonsari,"The rapid growth of the Internet of Vehicles (IoV) and the increasing use of Connected and Autonomous Vehicles (CAVs) are causing many privacy and security problems that traditional protection methods can not handle. IoV networks have a lot of different types of data flows, distr"
10.1186/s40537-025-01063-3,Federated learning-driven IoT system for automated freshness monitoring in resource-constrained vending carts,2025-02-15,article,True,gold,6,6,7,0,Thompson Stephan; Padma Priya Dharishini Paramana; Chia‐Chen Lin; Saurabh Agarwal; Rajan Verma,"Abstract Street vendors in developing regions often lack access to portable and affordable cold storage, leading to accelerated food spoilage, financial losses, and health risks. Traditional refrigeration solutions are bulky and costly, while manual freshness assessment is error-"
10.1186/s40537-026-01398-5,Machine learning insights into recommendation intention: evidence from the fitness industry,2026-02-28,article,True,gold,1,12,1,0,Manuel Alonso Dos Santos; Jerónimo Garcia Fernández; Rodrigo Fuentes; Carmen Perpiñá Zarco,"Recommendation intention, or the Net Promoter Score (NPS, in the terminology of fitness centers), is a tool that condenses into a single indicator the willingness of customers to recommend a service. It is important because it has become a widely used proxy for loyalty, brand adv"
10.1186/s40537-026-01396-7,Real-time stroke prediction in badminton integrating AI with the KNN-HMM model,2026-03-06,article,True,gold,1,8,5,0,Qi Song; Jian Zhang,"The field of sports analytics is being transformed by artificial intelligence (AI) and machine learning, which enable objective assessments based on developed modelling methods. The paper presents a k-Nearest Neighbours-Hidden Markov Model (KNN-HMM) to address issues of accuracy,"
10.1186/s40537-026-01449-x,AgriVisionNet: multi-generative adversarial network and Class-Aware MultiScale Vision Transformer for plant disease detection and severity classification,2026-05-22,article,True,gold,0,12,1,1,Preethi Sambandam Raju; A R Revathi; Murugan Mahalingam,"In a rapidly shifting agricultural landscape, farmers face the critical challenge of managing plant leaf diseases that endanger their crops and, ultimately, food security. Traditional methods of disease detection often struggle to cope with data imbalance, variability in leaf app"
10.1186/s40537-026-01534-1,"Data-driven insights into speech impairment: an indepth survey of learning techniques, challenges, and opportunities",2026-08-24,article,True,gold,0,5,8,1,Qurat Ul Ain; Fazli Subhan; Hammad Afzal; Jawad Khan; Youngmoon Lee; Sadaf Abdul Rauf,"The emergence of data-driven computational intelligence has significantly advanced impaired speech analysis in large-scale and clinically diverse healthcare environments. However, the effective exploitation of heterogeneous, multimodal, and resource-constrained speech data remain"
10.1186/s40537-025-01264-w,Advancing multimodal emotion recognition in big data through prompt engineering and deep adaptive learning,2025-08-26,article,True,gold,22,6,6,0,Abeer A. Wafa; Mai M. Eldefrawi; Marwa Salah Farhan,"Abstract Emotion recognition in dynamic and real-world environments presents significant challenges due to the complexity and variability of multimodal data. This paper introduces an innovative Multimodal Emotion Recognition (MER) framework that seamlessly integrates text, audio,"
10.1186/s40537-025-01180-z,An adaptive k-means clustering algorithm based on grid and domain centroid weights for digital twins in the context of digital transformation,2025-05-23,article,True,gold,6,9,3,0,Wei Cai; Fei Yang; Bo Yao; Chuanxian Li; Guangyu Sun,"Digital twins are pivotal in driving the digital transformation across various industries. Once digital twins are established for operational physical entities (i.e., digital twins for digital transformation, DT-DT), managing both the vast volumes of historical operational data a"
10.1186/s40537-025-01245-z,Beyond the outbreak: a review of big data analytics in proactive infectious disease prevention for risk mitigation for COVID-19,2025-07-26,article,True,gold,4,6,6,1,Nurun Nuha; Sakinah Ali Pitchay; Azni Haslizan Ab Halim; Murtadha Arif Bin Sahbudin; Ilfita Sahbudin,"The World Health Organisation (WHO) has identified infectious diseases, particularly COVID-19, tuberculosis, malaria, and measles, as significant global health challenges in the past 5 years. The COVID-19 pandemic exposed critical limitations in traditional disease tracking syste"
10.1186/s40537-025-01199-2,A fast and accurate segmentation model of lychee tree canopy from UAV remote sensing image based on big data and deep learning,2025-06-03,article,True,gold,3,5,7,0,Jianhua Wang; Hongyi Xiong,"Litchi chinensis Sonn, an evergreen tree within the Sapindaceae family and the Litchi Sonn genus, plays a significant role in agricultural management. The canopy information of lychee trees offers a comprehensive and detailed perspective for agricultural experts and orchard manag"
