ID,Authors (first 3),Year,Title,Journal,Type,OA,Theme,ML methods (abstract-level),Big-data context (abstract-level),Cited by (OpenAlex),DOI
TBD-1,Wendong Jiang; Chih-Yung Chang; Tzu-Chia Huang et al.,2026,PEXP: A Scalable Parallel Tree-Based Framework for Interpreting Models on Big Data,IEEE Transactions on Big Data,research article,no (flag: needs access),Scalable & interpretable ML,tree-based parallel model interpretation,big data; parallel framework,3,10.1109/tbdata.2026.3668673
TBD-2,Zeju Cai; Jianguo Chen; Yuting Fan et al.,2025,"Blockchain-Empowered Federated Learning: Benefits, Challenges, and Solutions",IEEE Transactions on Big Data,survey,no (flag: needs access),Federated & privacy-preserving learning,federated learning + blockchain incentives/security,distributed training across parties,25,10.1109/tbdata.2025.3541560
TBD-3,Ziwei Chai; Tianjie Zhang; Liang Wu et al.,2025,GraphLLM: Boosting Graph Reasoning Ability of Large Language Model,IEEE Transactions on Big Data,research article,no (flag: needs access),LLMs & foundation models,LLM for graph reasoning,graph-structured large data,17,10.1109/tbdata.2025.3627488
TBD-4,Zhiwen Xiao; Huanlai Xing; Rong Qu et al.,2025,Knowledge Aggregation Transformer Network for Multivariate Time Series Classification,IEEE Transactions on Big Data,research article,yes,Time series & streaming,transformer for multivariate time series classification,high-volume sensor/time-series data,27,10.1109/tbdata.2025.3594294
TBD-5,Ercan Gunbilek; Züleyha Akusta Dağdevıren; Hasan Bulut,2026,Enhanced Approaches for Anomaly Detection in Streaming Data: Coupling Gaussian Distributions With Space Trees and Adaptive AutoEncoders,IEEE Transactions on Big Data,research article,no (flag: needs access),Security & anomaly detection,statistical + ML anomaly detection,data streams (velocity),0,10.1109/tbdata.2026.3679567
BDR-1,Hesamodin Mohammadian; Griffin Higgins; Samuel Ansong et al.,2025,Explainable malware detection through integrated graph reduction and learning techniques,Big Data Research,research article,yes,Security & anomaly detection,"graph reduction + learning, explainable malware detection",large malware corpora,12,10.1016/j.bdr.2025.100555
BDR-2,Rafael Teixeira; Leonardo Almeida; Mário Antunes et al.,2025,Efficient training: Federated learning cost analysis,Big Data Research,research article,yes,Federated & privacy-preserving learning,federated learning training-cost analysis,distributed/edge training,9,10.1016/j.bdr.2025.100510
BDR-3,Shahab Ghodsi; Ali Moeini,2026,Opinion fraud detection on massive datasets by spark,Big Data Research,research article,no (flag: needs access),Platforms & infrastructure,fraud detection ML on Spark,massive datasets; Spark cluster,0,10.1016/j.bdr.2026.100590
BDR-4,Qigang Liu; Yuxin Qiu; Yuhang Jia et al.,2026,Heterogeneous Graph-based Risk Assessment for Internet Financial Companies with Company Big Data,Big Data Research,research article,yes,Applications & domains,heterogeneous graph-based risk assessment,company big data (explicit in title),0,10.1016/j.bdr.2026.100620
BDR-5,Xingyu Li; Jinglei Liu,2026,Large-scale least squares regression based on fast spectral embedding and random Fourier feature mapping,Big Data Research,research article,no (flag: needs access),Scalable & interpretable ML,fast spectral embedding + random Fourier features regression,large-scale data,0,10.1016/j.bdr.2026.100589
JoBD-1,Kamal Taha,2025,"Big Data Analytics in IoT, social media, NLP, and information security: trends, challenges, and applications",Journal Of Big Data,survey + benchmark,yes,Platforms & infrastructure,"multi-domain BD analytics survey (IoT, social, NLP, security)",IoT/social-media/NLP/security data,18,10.1186/s40537-025-01192-9
JoBD-2,Rahul Haripriya; Nilay Khare; Manish Pandey et al.,2025,A privacy-enhanced framework for collaborative Big Data analysis in healthcare using adaptive federated learning aggregation,Journal Of Big Data,research article,yes,Healthcare applications,adaptive privacy-preserving collaborative analytics,healthcare big data,19,10.1186/s40537-025-01169-8
JoBD-3,Abeer A. Wafa; Mai M. Eldefrawi; Marwa Salah Farhan,2025,Advancing multimodal emotion recognition in big data through prompt engineering and deep adaptive learning,Journal Of Big Data,research article,yes,Applications & domains,"GAN + dynamic prompt engineering, multimodal deep learning",multimodal big data (explicit in title),22,10.1186/s40537-025-01264-w
JoBD-4,Hager Saleh; Nora El-Rashidy; Sherif Mostafa et al.,2025,Cloud based real-time multivariate multi-step prediction of systolic blood pressure and heart rate using temporal convolutional network and Apache Spark,Journal Of Big Data,research article,yes,Healthcare + fog/cloud streaming,temporal convolutional network (TCN) multi-step forecasting,fog/cloud streaming pipeline with Apache Spark (explicit in title),8,10.1186/s40537-025-01207-5
JoBD-5,Han Zhang; Yun Zhou; Huahu Xu et al.,2025,Graph neural network approach with spatial structure to anomaly detection of network data,Journal Of Big Data,research article,yes,Security & anomaly detection,GNN anomaly detection,network traffic data,19,10.1186/s40537-025-01149-y
AIR-1,Mohamad Abou Ali; Fadi Dornaika; Jinan Charafeddine,2025,"Agentic AI: a comprehensive survey of architectures, applications, and future directions",Artificial Intelligence Review,survey,yes,Agentic AI & RAG,agentic AI architectures/applications (survey),large-scale generative systems,134,10.1007/s10462-025-11422-4
AIR-2,Enerst Edozie; Aliyu Nuhu Shuaibu; Bashir Olaniyi Sadiq et al.,2025,Artificial intelligence advances in anomaly detection for telecom networks,Artificial Intelligence Review,review,yes,Security & anomaly detection,AI anomaly detection for telecom (survey),telecom network big data,86,10.1007/s10462-025-11108-x
AIR-3,Amgad Muneer; Muhammad Waqas; Maliazurina B. Saad et al.,2026,From classical machine learning to emerging foundation models: review on multimodal data integration for cancer research,Artificial Intelligence Review,review,yes,LLMs & foundation models,"classical ML to foundation models, multimodal (review)",multimodal big data,16,10.1007/s10462-026-11522-9
AIR-4,Hafiz Muhammad Waseem; Saif ul Islam; Nicholas Matragkas et al.,2025,Review of generative AI for synthetic data generation: a healthcare perspective,Artificial Intelligence Review,review,yes,Data quality & governance,generative AI synthetic data (review),healthcare data scarcity/privacy,7,10.1007/s10462-025-11440-2
AIR-5,Vaishnavi Vats; Huisu Kim; Eduardo Linares et al.,2026,A survey of deep multivariate time-series models with an empirical reproducibility audit,Artificial Intelligence Review,survey,yes,Data quality & governance,deep multivariate TS models + reproducibility audit,multivariate time series at scale,0,10.1007/s10462-026-11674-8
