ID,Title,DOI,Year,Journal,Type,Access,PDF,Note,Reader,Read status,Method / platform (abstract),Dataset and scale,Headline result,Limitations (theirs / ours),Draft section,S2,S5,Notes
TBD-1,PEXP: A Scalable Parallel Tree-Based Framework for Interpreting Models on Big Data,https://doi.org/10.1109/tbdata.2026.3668673,2026,IEEE Transactions on Big Data,Research article,PAID — institutional access,,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/TBD-1_pexp-a-scalable-parallel.md,,,tree-based parallel model interpretation / big data; parallel framework,,,,,,,
TBD-2,TS-MLLM: A Multi-Modal Large Language Model-based Framework for Industrial Time-Series Big Data Analysis,https://doi.org/10.1109/tbdata.2026.3695338,2026,IEEE Transactions on Big Data,Research article,PAID — institutional access,,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/TBD-2_tsmllm-a-multimodal-large.md,,,multimodal LLM framework for industrial time-series analysis (PHM) / industrial time-series big data (explicit in title),,,,,,,
TBD-3,GraphLLM: Boosting Graph Reasoning Ability of Large Language Model,https://doi.org/10.1109/tbdata.2025.3627488,2025,IEEE Transactions on Big Data,Research article,PAID — institutional access,,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/TBD-3_graphllm-boosting-graph-reasoning.md,,,LLM for graph reasoning / graph-structured large data,,,,,,,
TBD-4,Knowledge Aggregation Transformer Network for Multivariate Time Series Classification,https://doi.org/10.1109/tbdata.2025.3594294,2025,IEEE Transactions on Big Data,Research article,OA (green),,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/TBD-4_knowledge-aggregation-transformer-network.md,,,transformer for multivariate time series classification / high-volume sensor/time-series data,,,,,,,
TBD-5,Enhanced Approaches for Anomaly Detection in Streaming Data: Coupling Gaussian Distributions With Space Trees and Adaptive AutoEncoders,https://doi.org/10.1109/tbdata.2026.3679567,2026,IEEE Transactions on Big Data,Research article,PAID — institutional access,,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/TBD-5_enhanced-approaches-for-anomaly.md,,,statistical + ML anomaly detection / data streams (velocity),,,,,,,
BDR-1,Explainable malware detection through integrated graph reduction and learning techniques,https://doi.org/10.1016/j.bdr.2025.100555,2025,Big Data Research,Research article,OA (hybrid),,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/BDR-1_explainable-malware-detection-through.md,,,"graph reduction + learning, explainable malware detection / large malware corpora",,,,,,,
BDR-2,Efficient training: Federated learning cost analysis,https://doi.org/10.1016/j.bdr.2025.100510,2025,Big Data Research,Research article,OA (hybrid),,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/BDR-2_efficient-training-federated-learning.md,,,federated learning training-cost analysis / distributed/edge training,,,,,,,
BDR-3,Opinion fraud detection on massive datasets by spark,https://doi.org/10.1016/j.bdr.2026.100590,2026,Big Data Research,Research article,PAID — institutional access,,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/BDR-3_opinion-fraud-detection-on.md,,,fraud detection ML on Spark / massive datasets; Spark cluster,,,,,,,
BDR-4,Heterogeneous Graph-based Risk Assessment for Internet Financial Companies with Company Big Data,https://doi.org/10.1016/j.bdr.2026.100620,2026,Big Data Research,Research article,OA (green),,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/BDR-4_heterogeneous-graphbased-risk-assessment.md,,,heterogeneous graph-based risk assessment / company big data (explicit in title),,,,,,,
BDR-5,Large-scale least squares regression based on fast spectral embedding and random Fourier feature mapping,https://doi.org/10.1016/j.bdr.2026.100589,2026,Big Data Research,Research article,PAID — institutional access,,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/BDR-5_largescale-least-squares-regression.md,,,fast spectral embedding + random Fourier features regression / large-scale data,,,,,,,
JoBD-1,A deep learning-based framework for large-scale plant disease detection using big data analytics in precision agriculture,https://doi.org/10.1186/s40537-025-01265-9,2025,Journal of Big Data,Research article,OA (gold),,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/JoBD-1_a-deep-learningbased-framework.md,,,deep learning framework for large-scale plant disease detection / big data analytics in precision agriculture (explicit in title),,,,,,,
JoBD-2,A privacy-enhanced framework for collaborative Big Data analysis in healthcare using adaptive federated learning aggregation,https://doi.org/10.1186/s40537-025-01169-8,2025,Journal of Big Data,Research article,OA (gold),,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/JoBD-2_a-privacyenhanced-framework-for.md,,,adaptive privacy-preserving collaborative analytics / healthcare big data,,,,,,,
JoBD-3,Advancing multimodal emotion recognition in big data through prompt engineering and deep adaptive learning,https://doi.org/10.1186/s40537-025-01264-w,2025,Journal of Big Data,Research article,OA (gold),,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/JoBD-3_advancing-multimodal-emotion-recognition.md,,,"GAN + dynamic prompt engineering, multimodal deep learning / multimodal big data (explicit in title)",,,,,,,
JoBD-4,Cloud based real-time multivariate multi-step prediction of systolic blood pressure and heart rate using temporal convolutional network and Apache Spark,https://doi.org/10.1186/s40537-025-01207-5,2025,Journal of Big Data,Research article,OA (gold),,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/JoBD-4_cloud-based-realtime-multivariate.md,,,temporal convolutional network (TCN) multi-step forecasting / fog/cloud streaming pipeline with Apache Spark (explicit in title),,,,,,,
JoBD-5,Graph neural network approach with spatial structure to anomaly detection of network data,https://doi.org/10.1186/s40537-025-01149-y,2025,Journal of Big Data,Research article,OA (gold),,https://github.com/ihmorol/big-data-ml-review/blob/main/sources/JoBD-5_graph-neural-network-approach.md,,,GNN anomaly detection / network traffic data,,,,,,,
