ID,Reference string (Springer Basic),Flags,BibTeX key
TBD-1,"Jiang W, Chang CY, Huang TC, Chin YT, Sinha Roy D (2026) PEXP: A Scalable Parallel Tree-Based Framework for Interpreting Models on Big Data. IEEE Transactions on Big Data 12(4):1177–1194. https://doi.org/10.1109/tbdata.2026.3668673",compound surname parsed mechanically - verify,jiang2026pexp
TBD-2,"Wang H, Li Y, Zhu YC, Yan J, Ren L, Yang LT (2026) TS-MLLM: A Multi-Modal Large Language Model-based Framework for Industrial Time-Series Big Data Analysis. IEEE Transactions on Big Data [volume/pages to verify]. https://doi.org/10.1109/tbdata.2026.3695338",verify volume/pages (online first),wang2026mllm
TBD-3,"Chai Z, Zhang T, Wu L, Han K, Hu X, Huang X (2025) GraphLLM: Boosting Graph Reasoning Ability of Large Language Model. IEEE Transactions on Big Data 12(2):475–483. https://doi.org/10.1109/tbdata.2025.3627488",—,chai2025graphllm
TBD-4,"Xiao Z, Xing H, Qu R, Li H, Tong H, Luo S (2025) Knowledge Aggregation Transformer Network for Multivariate Time Series Classification. IEEE Transactions on Big Data 11(6):3413–3429. https://doi.org/10.1109/tbdata.2025.3594294",—,xiao2025katn
TBD-5,"Gunbilek E, Akusta Dağdevıren Z, Bulut H (2026) Enhanced Approaches for Anomaly Detection in Streaming Data: Coupling Gaussian Distributions With Space Trees and Adaptive AutoEncoders. IEEE Transactions on Big Data 12(4):1318–1331. https://doi.org/10.1109/tbdata.2026.3679567",compound surname parsed mechanically - verify,gunbilek2026enhanced
BDR-1,"Mohammadian H, Higgins G, Ansong S, Razavi‐Far R, Ghorbani AA (2025) Explainable malware detection through integrated graph reduction and learning techniques. Big Data Research 41:100555. https://doi.org/10.1016/j.bdr.2025.100555",—,mohammadian2025explainable
BDR-2,"Teixeira R, Almeida L, Antunes M, Gomes D, Aguiar RL (2025) Efficient training: Federated learning cost analysis. Big Data Research 40:100510. https://doi.org/10.1016/j.bdr.2025.100510",—,teixeira2025efficient
BDR-3,"Ghodsi S, Moeini A (2026) Opinion fraud detection on massive datasets by spark. Big Data Research 43:100590. https://doi.org/10.1016/j.bdr.2026.100590",—,ghodsi2026opinion
BDR-4,"Liu Q, Qiu Y, Jia Y, Wang Y, Wu M (2026) Heterogeneous Graph-based Risk Assessment for Internet Financial Companies with Company Big Data. Big Data Research 45:100620. https://doi.org/10.1016/j.bdr.2026.100620",—,liu2026heterogeneous
BDR-5,"Li X, Liu J (2026) Large-scale least squares regression based on fast spectral embedding and random Fourier feature mapping. Big Data Research 43:100589. https://doi.org/10.1016/j.bdr.2026.100589",—,li2026large
JoBD-1,"Elfouly MK, Abdelaziz A, Gomaa WH, Abdalla M (2025) A deep learning-based framework for large-scale plant disease detection using big data analytics in precision agriculture. Journal of Big Data 12(1) [article no. to verify]. https://doi.org/10.1186/s40537-025-01265-9",verify article number,elfouly2025deep
JoBD-2,"Haripriya R, Khare N, Pandey M, Biswas S (2025) A privacy-enhanced framework for collaborative Big Data analysis in healthcare using adaptive federated learning aggregation. Journal of Big Data 12(1) [article no. to verify]. https://doi.org/10.1186/s40537-025-01169-8",verify article number,haripriya2025privacy
JoBD-3,"Wafa AA, Eldefrawi MM, Salah Farhan M (2025) Advancing multimodal emotion recognition in big data through prompt engineering and deep adaptive learning. Journal of Big Data 12(1) [article no. to verify]. https://doi.org/10.1186/s40537-025-01264-w",verify article number; compound surname parsed mechanically - verify,wafa2025advancing
JoBD-4,"Saleh H, El-Rashidy N, Mostafa S, AlMohimeed A, El–Sappagh S, Ali ZH (2025) Cloud based real-time multivariate multi-step prediction of systolic blood pressure and heart rate using temporal convolutional network and Apache Spark. Journal of Big Data 12(1) [article no. to verify]. https://doi.org/10.1186/s40537-025-01207-5",verify article number,saleh2025cloud
JoBD-5,"Zhang H, Zhou Y, Xu H, Shi J, Lin X, Gao Y (2025) Graph neural network approach with spatial structure to anomaly detection of network data. Journal of Big Data 12(1) [article no. to verify]. https://doi.org/10.1186/s40537-025-01149-y",verify article number,zhang2025graph
AIR-1,"Abou Ali M, Dornaika F, Charafeddine J (2025) Agentic AI: a comprehensive survey of architectures, applications, and future directions. Artificial Intelligence Review 59(1) [article no. to verify]. https://doi.org/10.1007/s10462-025-11422-4",verify article number; compound surname parsed mechanically - verify; review article (AIR exception),abouali2025agentic
AIR-2,"Edozie E, Shuaibu AN, Sadiq BO, John UK (2025) Artificial intelligence advances in anomaly detection for telecom networks. Artificial Intelligence Review 58(4) [article no. to verify]. https://doi.org/10.1007/s10462-025-11108-x",verify article number; review article (AIR exception),edozie2025telecom
AIR-3,"Muneer A, Waqas M, Saad MB, Showkatian E, Bandyopadhyay R, Xu H (2026) From classical machine learning to emerging foundation models: review on multimodal data integration for cancer research. Artificial Intelligence Review 59(4) [article no. to verify]. https://doi.org/10.1007/s10462-026-11522-9",verify article number; review article (AIR exception),muneer2026classical
AIR-4,"Waseem HM, ul Islam S, Matragkas N, Epiphaniou G, Arvanitis TN, Maple C (2025) Review of generative AI for synthetic data generation: a healthcare perspective. Artificial Intelligence Review 59(2) [article no. to verify]. https://doi.org/10.1007/s10462-025-11440-2",verify article number; compound surname parsed mechanically - verify; review article (AIR exception),waseem2025synthetic
AIR-5,"Vats V, Kim H, Linares E, Suh Y (2026) A survey of deep multivariate time-series models with an empirical reproducibility audit. Artificial Intelligence Review [volume/pages to verify]. https://doi.org/10.1007/s10462-026-11674-8",verify volume/pages (online first); verify article number; review article (AIR exception),vats2026survey
